code,General_meaning,Causes,Symptoms,Mechanic_diagnosis,Severity_level,Suggested_repairs
P0131,"P0131 is telling us there is a fault in the oxygen sensor, located in the bank 1 sensor 1 location of the vehicle. This is also called air/fuel sensor, or heated O2 sensor. This means that the ECU has detected either improper voltage from the oxygen sensor or improper air-fuel ratio.Bank 1 is referring to the left side of the engine, when sitting in the drivers seat. Sensor 1 is referring to the sensor located before the catalytic converter in the exhaust system.",P0131 can be caused by a variety of issues: Failed Oxygen sensor Damage or unplugged wiring Open or short Improperly reading coolant temp sensor Failed heater circuit for oxygen sensor Most commonly the sensor has simply failed due to age and wear,"When a fault is detected in the oxygen sensor circuit the Check Engine Light is illuminated and will be visible on the dashboard. After the Check Engine Light is visible the car’s ECU puts the car into a failsafe mode, sets the air-fuel ration to a fixed condition, and leans the vehicle to prevent catalytic converter damage. Lean conditions may cause poor fuel economy to be observed.The vehicle may run poorly or stutter when driving with a oxygen sensor issue. In extreme cases the vehicle’s engine may die while running with this code present.","The first thing any mechanic will do is plug in a OBD2 scanner into the DLC connector, typically located under the dash on the driver’s side, to read and confirm any codes present. With any code there will be an associated freeze frame data which tells us under what conditions such as engine speed, driving speed, run time, engine temperature that the code was set at so we can recreate this in our test drive.Once P0131 is confirmed, a qualified mechanic will clear the code and take the vehicle on a test drive while observing the vehicles datastreme which will show the oxygen sensor voltage and resistance. If the code comes back on, excessive resistance is shown, or out of range voltage is present the technician has confirmed there is a fault in the oxygen sensor circuit.The first thing a qualified technician will perform a visual inspection to insure the integrity of the oxygen sensor wiring.If the wiring is found to be okay the mechanic will check the sensor voltage and resistance. Voltage should be below 1 volt and resistance below manufactures specifications for each vehicle.",A P0131 code can indicate a serious problem that can cause the vehicle to run poorly and die while running. Caution should be observed when this code is present and it should be fixed promptly.," Confirm P0131 is present with a scan tool. Clear the fault code and complete a road test ensuring P0131 comes back.  Confirm P0131 is present with a scan tool. Clear the fault code and complete a road test ensuring P0131 comes back. Perform a visual inspection of the bank 1 sensor 1 wiring replacing or repairing any wiring that is found to be faulty.  Perform a visual inspection of the bank 1 sensor 1 wiring replacing or repairing any wiring that is found to be faulty. Check voltage and resistance of bank 1 sensor 1  Check voltage and resistance of bank 1 sensor 1 If necessary replace the oxygen sensor bank 1 sensor 1 with a new sensor.  If necessary replace the oxygen sensor bank 1 sensor 1 with a new sensor."
P0012,P0012 is the OBD-II generic code indicating the engine control module (ECM) has determined that the intake camshaft timing for bank 1 is more retarded than what the ECM has commanded it be. This over-retarded timing condition could be during the advancing or retarding phase of the camshaft timing.," The variable camshaft timing (VCT) oil control valve (OCV) stuck in the open position. The camshaft phaser is damaged and stuck in the retarded position. Oil flow problems to the VCT piston and phaser."," The ECM will turn on the Check Engine Light if the timing cannot be commanded to move.  The ECM will turn on the Check Engine Light if the timing cannot be commanded to move. The engine will have a hard start condition due to the retarded timing position.  The engine will have a hard start condition due to the retarded timing position. Fuel mileage may go down since the camshaft is not in a position to get the best possible fuel mileage.  Fuel mileage may go down since the camshaft is not in a position to get the best possible fuel mileage. Depending on camshaft position the engine may stall, hesitate, and run rougher than normal.  Depending on camshaft position the engine may stall, hesitate, and run rougher than normal. The vehicle will fail an emissions test.  The vehicle will fail an emissions test.Note: Your drive problems will change depending on the camshaft timing positions when the camshaft stopped advancing."," Visually checks the electrical connections to the camshaft sensor, oil control solenoid valve, and crankshaft sensor for loose connections, damaged wiring harness, or any other issues that may cause a problem.  Visually checks the electrical connections to the camshaft sensor, oil control solenoid valve, and crankshaft sensor for loose connections, damaged wiring harness, or any other issues that may cause a problem. Makes sure the engine oil is full of clean correct viscosity oil.  Makes sure the engine oil is full of clean correct viscosity oil. The technician will scan and document the codes received and view the freeze frame data to see when the code was set.  The technician will scan and document the codes received and view the freeze frame data to see when the code was set. The codes should then be reset to clear the OBD-II fault codes and retest the vehicle to see if the P0012 code comes back.  The codes should then be reset to clear the OBD-II fault codes and retest the vehicle to see if the P0012 code comes back. Commands the oil control solenoid valve on and off to see if the camshaft timing changes.  Commands the oil control solenoid valve on and off to see if the camshaft timing changes. If no problems are noted and the code still exists, then the next step for the technician is to perform a manufacturer's specific pinpoint tests for the P0012 code and repair as needed.  If no problems are noted and the code still exists, then the next step for the technician is to perform a manufacturer's specific pinpoint tests for the P0012 code and repair as needed.Note: Follow the manufacturer's recommended pinpoint test to narrow down the problem, since each engine may be tested differently and possible engine internal damage may be done if tests are not performed in accordance with a correct procedure.Common mistakes when diagnosing the P0012 code?Follow these simple guidelines to prevent mistakes: Always verify the failure before attempting any repairs.  Always verify the failure before attempting any repairs. Do a thorough visual check for any problems with the wiring or connections to the components.  Do a thorough visual check for any problems with the wiring or connections to the components. Follow the pinpoint test step-by-step to help prevent a misdiagnosis.  Follow the pinpoint test step-by-step to help prevent a misdiagnosis. Do not replace any parts unless directed by the pinpoint or visual testing.  Do not replace any parts unless directed by the pinpoint or visual testing."," The engine may run erratic and stall, hesitate, run rough or have a hard starting condition.  The engine may run erratic and stall, hesitate, run rough or have a hard starting condition. The engine may have excessive fuel consumption, carbon fouling of engine components, and various drive complaints depending on the camshaft failed position.  The engine may have excessive fuel consumption, carbon fouling of engine components, and various drive complaints depending on the camshaft failed position. Driving the vehicle for a prolonged time with the camshafts not retarding may cause other problems to the valve train or engine depending on the cause of the failure.  Driving the vehicle for a prolonged time with the camshafts not retarding may cause other problems to the valve train or engine depending on the cause of the failure."," Resetting the fault codes and performing a road test.  Resetting the fault codes and performing a road test. Changing the oil and filter to the proper oil viscosity for the engine's specifications.  Changing the oil and filter to the proper oil viscosity for the engine's specifications. Repairing or replacing the wiring or connection to the camshaft oil control solenoid.  Repairing or replacing the wiring or connection to the camshaft oil control solenoid. Replacing the camshaft oil control valve for bank 1 intake camshaft.  Replacing the camshaft oil control valve for bank 1 intake camshaft. Check the timing chain alignment for jumped timing problems and repair as needed.  Check the timing chain alignment for jumped timing problems and repair as needed."
P0075,"The P0075 code varies by manufacturer, but it is a general powertrain trouble code for 1996 and newer cars with Variable Valve Timing (VVT) operating normally with oil pressure and controlled by the camshaft position solenoid on engine bank 1 (located on engine side with cylinder #1). This code is related to the solenoid and electrical circuit."," Wiring harness poor connection or damaged connectors A faulty control solenoid A short to the power side A short to ground The Engine Control Module (ECM) is faultyWhat are some of the symptoms of P0075 code?A faulty intake valve control can cause the engine intake valves to not change the lift to them and will cause an engine imbalance from bank to bank, causing the engine to run rough, hesitate, surge and possibly stall. The Check Engine Light would then come on once the ECM detects the failure in the intake valve control circuit.",," Looks for the Check Engine Light which may illuminate  Looks for the Check Engine Light which may illuminate Verifies the P0075 code with an OBD-II scanner  Verifies the P0075 code with an OBD-II scanner Resets all fault codes and performs a road test to see if the P0075 code returns  Resets all fault codes and performs a road test to see if the P0075 code returnsIf the code returns, follow the mechanic should follow the test procedure: Check the wiring harness for any unplugged/loose connections, corrosion, or any other damage  Check the wiring harness for any unplugged/loose connections, corrosion, or any other damage Verify that the wires have less than one ohm resistance (more than one ohm could mean damaged or grounded wires)  Verify that the wires have less than one ohm resistance (more than one ohm could mean damaged or grounded wires) Check the intake valve control solenoid itself for damage  Check the intake valve control solenoid itself for damage","The code is preceded by the engine warning light coming on the instrument panel. Often this condition causes erratic engine operation, poor acceleration and excessive fuel consumption under load. This situation requires attention and diagnosis as soon as possible to prevent further engine problems and damage.","Because this code P0075 is different for each manufacturer, it is best to follow the specific instructions from that manufacturer before replacing any components. Many tests simply do not apply to all vehicles and the function and operation of individual components.Many cars now use Variable Valve Timing to improve performance and fuel economy. The methodologies are often different due to patent rights and manufacturer processes using a variety of power sources, such as electricity, oil pressure, and engine rpm to operate. Most European cars have had these systems for years and each are different, adding to the complexity of the operation. BMW has at least 4 different evolutions as they have been a leader in this technology. The test procedure here is very general, but applies to most cars with the system.It is very advisable to follow the manufacturer instructions for each model of vehicle to make sure the procedure is done precisely."
P0028,P0028 is the OBD-II generic code indicating the engine control module (ECM) has determined that the variable valve lift for the intake valves for bank 2 will not engage.," The ECM activates the intake valve solenoid for bank 2, but the valve lift mechanism did not change.  The ECM activates the intake valve solenoid for bank 2, but the valve lift mechanism did not change. The intake valve lift solenoid for bank 2 is shorted or has an open circuit.  The intake valve lift solenoid for bank 2 is shorted or has an open circuit. The wiring or connections have opens or shorts between the ECM and the valve lift solenoid.  The wiring or connections have opens or shorts between the ECM and the valve lift solenoid. The connector to the valve lift solenoid gets contaminated by oil and shorts out.  The connector to the valve lift solenoid gets contaminated by oil and shorts out."," The engine can lack power if the valve lift fails in a position that is not optimal for operation. The engine runs rough or stalls. The engine can have a hesitation on acceleration. The Check Engine Light comes on."," Checks all of the wiring and connections for damage Checks and clears the codes, then retest the system to verify the failure Uses the test solenoid to verify that the valves can change from a low to high lift Follows the manufacturer's specific pinpoint tests for further diagnosis"," The engine may run erratic or stall when coming to a stop. The engine can hesitate and have a lack of power during acceleration. The engine may start very hard or run too lean."," Verifying the failure and replacing the variable valve lift solenoid after testing  Verifying the failure and replacing the variable valve lift solenoid after testing Testing the solenoid installed will verify if the valves work or will not shift, indicating a clogged passage in the solenoid  Testing the solenoid installed will verify if the valves work or will not shift, indicating a clogged passage in the solenoid Repairing or replacing the wiring and connections to the variable valve intake lift solenoid  Repairing or replacing the wiring and connections to the variable valve intake lift solenoid Repairing ECM connector or replacing the ECM  Repairing ECM connector or replacing the ECM"
P0119,P0119 is the generic OBD-II code which indicates that the Engine Control Module (ECM) has detected intermittent ECT sensor input.,"The ECT sensor input to the ECM is erratic; not giving a steady, stable reading."," The ECM turns on the Check Engine Light and goes into failsafe mode, substituting input to 176 deg F.  The ECM turns on the Check Engine Light and goes into failsafe mode, substituting input to 176 deg F. The engine may have a hard start when the engine is cold, and will start normal when warm.  The engine may have a hard start when the engine is cold, and will start normal when warm. The engine may run rough and hesitate until the engine warms up.  The engine may run rough and hesitate until the engine warms up. The engine should run close to normal once the engine warms up.  The engine should run close to normal once the engine warms up. Since the ECT input is intermittent, the ECM may go in and out of failsafe mode, causing the engine to run erratically.  Since the ECT input is intermittent, the ECM may go in and out of failsafe mode, causing the engine to run erratically.Note: The symptoms are determined by the manufacturer failsafe ECM strategy for the vehicle during a failure and may vary between manufacturers and vehicles."," Visually checks to see if coolant is full, and that the system and thermostat are working correctly  Visually checks to see if coolant is full, and that the system and thermostat are working correctly Scans and documents the codes that are received and views the freeze frame data to see when the code was set  Scans and documents the codes that are received and views the freeze frame data to see when the code was set Clears the OBD-II fault codes and retests the vehicle to see if the code comes back  Clears the OBD-II fault codes and retests the vehicle to see if the code comes back Observes the sensor’s live data on the scanner to ensure that the temperature output is within specifications while wiggling the sensor connector and wiring  Observes the sensor’s live data on the scanner to ensure that the temperature output is within specifications while wiggling the sensor connector and wiringIf no problems are noted, then the next step for the technician is to disconnect and check the sensor and connector for problems like corrosion or loose connections. Corroded sensors and connectors should be replaced."," The ECM may go in and out of failsafe mode since the problem is intermittent.  The ECM may go in and out of failsafe mode since the problem is intermittent. The problem may progress to a more permanent or serious failure if problem is not repaired.  The problem may progress to a more permanent or serious failure if problem is not repaired. Intermittent failure may be shorted wiring that could damage the ECM or wiring.  Intermittent failure may be shorted wiring that could damage the ECM or wiring."," Testing and replacing any other ECT sensor codes first Repairing or replacing the ECT connector Repairing or replacing an open wire or short as necessary Replace the ECT with a new sensor Replace the ECM if shorted out"
P0110,"P0110 is a general code for a problem with the Intake Air Temperature (IAT) electrical circuit sensor sending incorrect voltage input signals to the Engine Control Unit (ECU). This means the voltage input to the ECU is incorrect, which then means that it is not in the correct range and causes the ECU to incorrectly manage the fuel system."," The source of the problem is the sensor sending improper voltage information to the ECU.  The source of the problem is the sensor sending improper voltage information to the ECU. The most common problem is a bad IAT sensor.  The most common problem is a bad IAT sensor. The wiring or connector may be bad and have a bad connection, or the wiring could be too close to higher voltage consumption components, especially alternators or ignition wires causing voltage fluctuations. A poor electrical ground can cause problems also.  The wiring or connector may be bad and have a bad connection, or the wiring could be too close to higher voltage consumption components, especially alternators or ignition wires causing voltage fluctuations. A poor electrical ground can cause problems also. The sensor itself may be simply operating out of range from normal age and fatigue or damaged parts of the sensor components internally.  The sensor itself may be simply operating out of range from normal age and fatigue or damaged parts of the sensor components internally. IAT sensors must operate within specific ranges to send correct signals for the ECU to coordinate with the throttle position sensor, Manifold Air Pressure sensor, and Mass Air Flow sensor to adjust correctly for proper engine operation.  IAT sensors must operate within specific ranges to send correct signals for the ECU to coordinate with the throttle position sensor, Manifold Air Pressure sensor, and Mass Air Flow sensor to adjust correctly for proper engine operation. If the engine is not in good condition, is missing, has poor fuel pressure, or has an internal issue with the engine like a burned valve, it can prevent the IAT sensor from getting a correct output. The ECU could also be bad but that is rare.  If the engine is not in good condition, is missing, has poor fuel pressure, or has an internal issue with the engine like a burned valve, it can prevent the IAT sensor from getting a correct output. The ECU could also be bad but that is rare.","P0110 code will be often preceded by the Check Engine Light coming on the vehicle dashboard display. The vehicle will most often not run well, idle poorly, accelerate erratically, run rich and backfire because the IAT sensor and throttle position sensor are not electrically synchronized together.","P0110 is diagnosed with an OBD-II scanner. A qualified technician should reset the OBD-II fault codes and then road test the vehicle to see if the code or Check Engine Light come back on. He can observe this by watching data on a scanner with live readings and verifying there is 5 volts input to the IAT sensor. If the IAT Sensor input voltages to the ECU are not correct, then it is most likely the IAT sensor is bad and needs replacement. The technician must check the wiring and connector to make sure it is not simply a loose or weak connector causing the bad temperature readings.","The P0110 code can result in poor running of the engine and requires immediate attention. It is very important to check it out as soon as possible. The IAT sensor issue can cause excessive fuel consumption, rough operation, poor power, and difficulty starting in certain circumstances. Plus it can cause other damage if continued to be driven. Occasionally, if no problems are found, the technician can reset the fault codes and then retest the vehicle.Often times, if the Check Engine Light came on immediately at start up, then the OBD-II system can be reset and the vehicle will operate normally."," Verify the code with a good OBD-II scanner. Reset the fault codes and perform a road test to see if the code comes back.  Verify the code with a good OBD-II scanner. Reset the fault codes and perform a road test to see if the code comes back. If the code comes back, check the IAT sensor voltage, which is normally 5 volts in along with the electrical connector and wiring. Disconnect the electrical connector and then reinstall to ensure a fresh clean electrical connection. Then check the voltage on IAT output on the sensor to see if it is correct which should gradually increase from .5 volts up to 5 volts as the engine and intake air temperature increases.  If the code comes back, check the IAT sensor voltage, which is normally 5 volts in along with the electrical connector and wiring. Disconnect the electrical connector and then reinstall to ensure a fresh clean electrical connection. Then check the voltage on IAT output on the sensor to see if it is correct which should gradually increase from .5 volts up to 5 volts as the engine and intake air temperature increases. At this point, if the readings and wiring are normal, it is best to determine if the IAT sensor is defective and if it has no or incorrect output, before replacing the MAP sensor. If all checks are good, then a final test to determine if the ECU is bad must be done.  At this point, if the readings and wiring are normal, it is best to determine if the IAT sensor is defective and if it has no or incorrect output, before replacing the MAP sensor. If all checks are good, then a final test to determine if the ECU is bad must be done."
P0011,P0011 is the OBD-II generic code indicating the engine control module (ECM) has determined that the bank 1 intake camshaft is more advanced than what the ECM has commanded it be. This over-advanced condition could be during advancing or retarding of the camshaft timing.," The camshaft and crankshaft sensors have indicated the camshaft is more advanced than the ECM has commanded it to advance.  The camshaft and crankshaft sensors have indicated the camshaft is more advanced than the ECM has commanded it to advance. The camshaft is too advanced when the ECM has commanded the camshaft to retard to a lower timing level.  The camshaft is too advanced when the ECM has commanded the camshaft to retard to a lower timing level. The oil control solenoid to the bank 1 camshaft may be stuck or have clogged passages.  The oil control solenoid to the bank 1 camshaft may be stuck or have clogged passages. The oil is too thick causing the passages to become clogged due to lack of oil flow to and from the camshaft phasers.  The oil is too thick causing the passages to become clogged due to lack of oil flow to and from the camshaft phasers. The camshaft phasers are stuck in the advanced position.  The camshaft phasers are stuck in the advanced position."," The ECM will turn on the Check Engine Light and command the camshaft to go to its normal starting position if possible.  The ECM will turn on the Check Engine Light and command the camshaft to go to its normal starting position if possible. The engine may have a hard start condition if the cam is stuck in a too far advanced or retarded timing position.  The engine may have a hard start condition if the cam is stuck in a too far advanced or retarded timing position. The engine will have a reduction in fuel mileage due to the camshafts not being in their optimal positions to get the best fuel mileage.  The engine will have a reduction in fuel mileage due to the camshafts not being in their optimal positions to get the best fuel mileage. The engine may run rough, hesitate, or stall depending on camshaft positions.  The engine may run rough, hesitate, or stall depending on camshaft positions. The engine emissions may exceed federal levels and fail an emissions test.  The engine emissions may exceed federal levels and fail an emissions test.Note: The symptoms may change depending on the camshaft timing positions when the camshaft stopped advancing or retarding."," A visual inspection to determine any electrical connector, wiring, or valve issues of the camshaft oil control valve for the bank 1 intake camshaft.  A visual inspection to determine any electrical connector, wiring, or valve issues of the camshaft oil control valve for the bank 1 intake camshaft. Check the engine for it to be full of clean engine oil with the correct viscosity.  Check the engine for it to be full of clean engine oil with the correct viscosity. The technician will scan and document the codes received and view the freeze frame data to see when the code was set.  The technician will scan and document the codes received and view the freeze frame data to see when the code was set. The codes should then be reset to clear the OBD-II fault codes and retest the vehicle to see if the P0011 code comes back.  The codes should then be reset to clear the OBD-II fault codes and retest the vehicle to see if the P0011 code comes back. If the code returns, then the next step for the technician to do is perform a manufacturer's specific pinpoint test for the P0011 code and repair as needed.  If the code returns, then the next step for the technician to do is perform a manufacturer's specific pinpoint test for the P0011 code and repair as needed.Note: Follow the manufacturer's recommended pinpoint test to narrow down the problem since each engine may be tested differently and possible engine internal damage may be done if tests are not performed in accordance with a correct procedure.Common mistakes when diagnosing the P0011 code?Follow these simple guidelines to prevent mistakes: Always do a visual inspection for common problems like checking to see if all electrical connectors are connected.  Always do a visual inspection for common problems like checking to see if all electrical connectors are connected. Check engine oil to see if it is full, clean, and of the correct viscosity.  Check engine oil to see if it is full, clean, and of the correct viscosity. Check, document and clear failure codes. Test to verify the code coming back before any further tests are done.  Check, document and clear failure codes. Test to verify the code coming back before any further tests are done. The manufacturer pinpoint test procedures should be followed step-by-step without skipping any steps to prevent a misdiagnosis and replacing of good components.  The manufacturer pinpoint test procedures should be followed step-by-step without skipping any steps to prevent a misdiagnosis and replacing of good components. Do not replace any sensors or components unless tests indicate a problem.  Do not replace any sensors or components unless tests indicate a problem."," The engine may run erratic and stall, hesitate, run rough, or have a hard starting condition.  The engine may run erratic and stall, hesitate, run rough, or have a hard starting condition. The engine may have excessive fuel consumption, carbon fouling of engine components, and various drive complaints depending on the camshaft failed position.  The engine may have excessive fuel consumption, carbon fouling of engine components, and various drive complaints depending on the camshaft failed position. Driving the vehicle for prolonged time with the camshafts not advancing or retarding may cause other problems to the valve train or engine depending on the cause of the failure.  Driving the vehicle for prolonged time with the camshafts not advancing or retarding may cause other problems to the valve train or engine depending on the cause of the failure."," Resetting the fault codes and performing a road test Changing the oil and filter to the proper oil viscosity for the engine specifications Repairing or replacing the wiring to the camshaft oil control valve for bank 1 intake camshaft Replacing the camshaft oil control valve for bank 1 intake camshaft Checking the timing chain alignment for jumped timing problems"
P0020,P0020 is the OBD-II generic code indicating that the engine control module (ECM) has determined that the bank 2 intake camshaft Oil Control Valve (OCV) has an open or short circuit. This happens during one drive cycle.," The ECM has commanded the OCV to less than 80% duty cycle and output is 100%. The ECM has commanded the OCV up to 70% and output is less than 3%. The OCV or wiring to the bank 1 exhaust camshaft may be shorted out. The OCV may have an open circuit or the wiring is open."," The Check Engine Light will come on. The engine may have a hard start condition if OCV is shorted. The engine will have a reduction in fuel mileage if the OCV is shorted or open. The engine may run rough, hesitate or stall depending on if it has shorted or if it has an open OCV circuit.Note: The symptoms will change depending on the camshaft position when the Variable Valve Timing (VVT) system stopped working."," Visually checks the electrical connectors, wiring and OCV for any problems Checks the computer codes then documents the freeze frame data for the code The vehicle is tested to see if the codes come back Checks OCV for correct resistance of approximately 6.9 to 7.9 ohms Traces and repairs any shorts or open circuits in the wiring Checks the system following manufacturer's pinpoint testsNote: Follow the manufacturer's recommended pinpoint test to narrow down the problem if above checks do not narrow the problem down."," The engine may hesitate on acceleration. The engine fuel consumption may get worse. The engine may get carbon buildup on the valves and piston rings if repairs are not done as soon as possible."," Clearing the fault codes and testing the system to verify the code Repairing or replacing the wiring to the intake camshaft oil control valve for bank 2 Replacing the camshaft oil control valve for bank 2 intake camshaft Replacing the ECM if directed from pinpoint tests"
P0013,P0013 is the OBD-II generic code indicating that the engine control module (ECM) has determined that the bank 1 exhaust camshaft OCV has an open or short circuit.," The ECM has commanded the OCV to less than 80% duty cycle and output is 100%.  The ECM has commanded the OCV to less than 80% duty cycle and output is 100%. The ECM has commanded the OCV up to 70% and output is less than 3%.  The ECM has commanded the OCV up to 70% and output is less than 3%. The OCV or wiring to the bank 1 exhaust camshaft may be shorted out.  The OCV or wiring to the bank 1 exhaust camshaft may be shorted out. The OCV may have an open circuit or the wiring is open.  The OCV may have an open circuit or the wiring is open."," The ECM will turn on the Check Engine Light.  The ECM will turn on the Check Engine Light. The engine may have a hard start condition if OCV is shorted.  The engine may have a hard start condition if OCV is shorted. The engine will have a reduction in fuel mileage if the OCV is shorted or open.  The engine will have a reduction in fuel mileage if the OCV is shorted or open. The engine may run rough, hesitate, or stall depending on shorted or open OCV circuit.  The engine may run rough, hesitate, or stall depending on shorted or open OCV circuit.Note: The symptoms may change depending on the camshaft timing positions when the camshaft stopped advancing or retarding."," Checks electrical connector, wiring, or valve issues of the camshaft oil control valve for the bank 1 exhaust camshaft.  Checks electrical connector, wiring, or valve issues of the camshaft oil control valve for the bank 1 exhaust camshaft. Scans computer codes and documents freeze frame data to see when failure happened.  Scans computer codes and documents freeze frame data to see when failure happened. The codes should then be cleared. Retests the vehicle to see if the P0013 code comes back.  The codes should then be cleared. Retests the vehicle to see if the P0013 code comes back. Checks OCV for correct resistance of 6.9 to 7.9 ohms.  Checks OCV for correct resistance of 6.9 to 7.9 ohms. Checks for shorted wiring from the ECM with connections removed.  Checks for shorted wiring from the ECM with connections removed. If code returns, the next step is to perform a manufacturer's specific pinpoint tests for the P0013 code and repair as needed.  If code returns, the next step is to perform a manufacturer's specific pinpoint tests for the P0013 code and repair as needed.Note: Follow the manufacturer's recommended pinpoint test to narrow down the problem, since each engine may be tested differently and possible engine internal damage may be done if tests are not performed in accordance with a correct procedure.Common mistakes when diagnosing the P0013 code?Follow these simple guidelines to prevent mistakes: Do a visual inspection for common problems like checking to see if electrical connectors are connected.  Do a visual inspection for common problems like checking to see if electrical connectors are connected. Check engine oil to see if it is full, clean, and of the correct viscosity.  Check engine oil to see if it is full, clean, and of the correct viscosity. Test system to verify the code coming back before any further tests or repairs are done.  Test system to verify the code coming back before any further tests or repairs are done. Always follow the manufacturer pinpoint test procedures to prevent replacing good components or misdiagnosing the code.  Always follow the manufacturer pinpoint test procedures to prevent replacing good components or misdiagnosing the code. Do not replace any sensors or components unless tests indicate a problem.  Do not replace any sensors or components unless tests indicate a problem."," Engine may run rough and stall.  Engine may run rough and stall. The engine fuel consumption may get worse or the engine may get carbon fouling of internal valve components.  The engine fuel consumption may get worse or the engine may get carbon fouling of internal valve components. Driving the vehicle for a prolonged time with the circuit shorted may damage the ECM.  Driving the vehicle for a prolonged time with the circuit shorted may damage the ECM."," Resetting the fault codes and performing a road test  Resetting the fault codes and performing a road test Repairing or replacing the wiring to the exhaust camshaft oil control valve for bank 1  Repairing or replacing the wiring to the exhaust camshaft oil control valve for bank 1 Replacing the camshaft oil control valve for bank 1 exhaust camshaft  Replacing the camshaft oil control valve for bank 1 exhaust camshaft Replacing the ECM  Replacing the ECM"
P0016,P0016 is the OBD-II generic code indicating that the camshaft position sensor for bank 1 does not correlate to the signal from the crankshaft position sensor.," The camshaft timing is out of position due to the timing chain jumped teeth.  The camshaft timing is out of position due to the timing chain jumped teeth. The camshaft phaser is out of position due to problems with phaser.  The camshaft phaser is out of position due to problems with phaser. The oil has flow to the phaser is impeded from having an incorrect oil viscosity or partly clogged passages.  The oil has flow to the phaser is impeded from having an incorrect oil viscosity or partly clogged passages. The Oil Control Valve (OCV) has a restriction in the OCV filter.  The Oil Control Valve (OCV) has a restriction in the OCV filter."," The Check Engine Light comes on. The engine may have a reduction in power or start hard. The engine may run erratically, stall, hesitate, or run rough. The engine's fuel mileage will decrease.Note: The erratic drive complaints will vary depending on the failure."," Visually checks for problems with the connections or wiring of the OCV, camshaft and crankshaft sensors  Visually checks for problems with the connections or wiring of the OCV, camshaft and crankshaft sensors Verifies that the engine oil is full and that the oil is clean with the correct viscosity  Verifies that the engine oil is full and that the oil is clean with the correct viscosity Scans and documents the engine codes and views the freeze frame data to see when the code was set  Scans and documents the engine codes and views the freeze frame data to see when the code was set Resets the Check Engine Light and road tests again to see if code returns  Resets the Check Engine Light and road tests again to see if code returns Commands the OCV on and off to see if the camshaft sensor is indicating timing changes for the bank 1 camshaft  Commands the OCV on and off to see if the camshaft sensor is indicating timing changes for the bank 1 camshaft Performs the manufacturer’s tests for the P0016 code to determine the cause of the code  Performs the manufacturer’s tests for the P0016 code to determine the cause of the codeNote: The manufacturer's recommended pinpoint test is used to narrow down the problem. Following the recommended tests will help with diagnosis without replacing the wrong parts."," The engine can have stalling or hesitations along with hard starting.  The engine can have stalling or hesitations along with hard starting. The timing chain may have problems with tensioners or guides and can lead to major engine damage if the valves hit the pistons.  The timing chain may have problems with tensioners or guides and can lead to major engine damage if the valves hit the pistons. Driving the vehicle for a prolonged time with the camshafts out of time may cause additional internal engine problems, depending on the failed part.  Driving the vehicle for a prolonged time with the camshafts out of time may cause additional internal engine problems, depending on the failed part."," Resetting the fault codes and performing a road test Replacing the camshaft sensor on bank 1 Repairing the wiring or connection to the camshaft OCV or camshaft sensor Replacing the camshaft OCV for bank 1 exhaust camshaft Replacing the timing chain and guides"
